WELL_ID,TREND,Presence,p-val,z
W0601502482,|('no trend', False,0.086410733, -1.7146428199482247)|
W0601500555,|('no trend', False,0.461310307, -0.7366909581630523)|
W0601502695,|('no trend', False,1, 0.0)|
W0601500378,|('no trend', False,0.107404636, 1.6099689437998486)|
W0601500406,|('no trend', False,0.081909443, 1.7397129031025995)|
W0601500584,|('no trend', False,0.710523023, -0.3711537444790451)|
W0601502232,|('increasing', True,0.003211184, 2.946763832652209)|
W0601502187,|('no trend', False,0.132854956, 1.502938298604359)|
W0601502001,|('no trend', False,1, 0)|
W0601503264,|('no trend', False,0.296269871, 1.044465935734187)|
W0601500396,|('no trend', False,1, 0)|
W0601502073,|('no trend', False,1, 0)|
W0601500574,|('no trend', False,0.29975837, 1.0369516947304254)|
W0601503666,|('no trend', False,1, 0)|
USGS-345158117533201,|('no trend', False,0.117861984, -1.5638108989944126)|
USGS-350424117415401,|('no trend', False,1, 0)|
USGS-354512117455001,|('no trend', False,1, 0.0)|
USGS-354216117415701,|('no trend', False,1, 0.0)|
USGS-354331117470501,|('no trend', False,1, 0.0)|
USGS-354359117443201,|('no trend', False,0.160555891, -1.403204414999095)|
USGS-351534117570001,|('decreasing', True,0.013464759, -2.4712342369967644)|
USGS-351549118022001,|('no trend', False,0.138966894, 1.4796491821129965)|
USGS-353902117465501,|('no trend', False,1, 0.0)|
USGS-350002117510301,|('no trend', False,0.284680543, -1.069863971039302)|
USGS-350048117465901,|('no trend', False,1, 0.0)|
USGS-345252117525201,|('no trend', False,0.259656356, 1.1272037239532693)|
USGS-350308118200301,|('no trend', False,0.526369374, 0.6335579145334397)|
USGS-351822117580801,|('no trend', False,1, 0.0)|
USGS-354632117505901,|('no trend', False,1, 0.0)|
USGS-354638119465603,|('no trend', False,1, 0)|
USGS-350112117411001,|('no trend', False,0.734095182, -0.3396831102433787)|
USGS-350237117465601,|('no trend', False,0.265510389, 1.1134612334371354)|
USGS-345004118135801,|('no trend', False,1, 0.0)|
USGS-351817117575901,|('no trend', False,0.65780929, 0.44293978391414907)|
USGS-350539119014201,|('no trend', False,1, 0.0)|
USGS-353607119261701,|('no trend', False,0.908676678, 0.11470786693528087)|
USGS-353948117385602,|('no trend', False,0.308179547, 1.0190493307301363)|
USGS-350011117455501,|('no trend', False,1, 0.0)|
USGS-350424117420101,|('no trend', False,0.229556214, 1.2015028183722212)|
USGS-352418119042901,|('no trend', False,0.296269871, 1.044465935734187)|
USGS-353928120000201,|('no trend', False,1, 0)|
USGS-344948117533601,|('no trend', False,1, 0.0)|
USGS-350117117391401,|('increasing', True,0.018741137, 2.350640381700619)|
USGS-351659117570301,|('no trend', False,1, 0.0)|
USGS-352204117493001,|('no trend', False,0.259656356, 1.1272037239532693)|
USGS-353618117390901,|('no trend', False,0.218168031, 1.2314140876351096)|
USGS-351714117563001,|('no trend', False,0.229556214, -1.2015028183722212)|
USGS-353931120023401,|('no trend', False,1, 0.0)|
USGS-353859117425702,|('no trend', False,1, 0.0)|
USGS-354057117441401,|('no trend', False,1, 0.0)|
USGS-354606117483201,|('no trend', False,1, 0.0)|
USGS-345033118095901,|('no trend', False,0.246810153, 1.1581320482871722)|
USGS-351453119162601,|('no trend', False,0.734095182, 0.3396831102433787)|
